2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
9918,3298,12512,550,0,0,0,300,100,222,100
6989,4370,14500,7146,0,0,22453,40475,24770,20060,24092
3240,300,3421,35,0,0,7916,5834,2325,1420,2808
0,0,0,0,0,0,0,600,135,600,4000
0,0,7230,6300,0,0,0,1960,0,0,0
7000,21486,53000,47800,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,3181,1000,500,0,0,0,0,0,0,0
0,1650,1500,11100,0,0,0,0,0,0,0
0,R,R,R,0,500,500,500,0,0,0
3700,R,R,R,0,0,0,0,0,0,0
0,R,R,R,0,0,1950,0,1267,0,0
0,R,R,R,0,0,0,0,10600,18456,15821
R,R,R,R,16011,17654,26482,0,9500,5300,0
R,R,R,R,1000,1500,1500,0,0,5300,0
R,R,R,R,106980,10850,25879,0,47700,45600,3700
R,R,R,R,4940,3800,5510,0,5300,202,5300
R,R,R,R,290,100,321,0,5300,170,0
R,R,R,R,3474,13722,7000,0,0,0,0
75,200,1200,0,0,0,310,0,21180,0,0
3632,31315,43671,20255,2000,4646,4300,0,5800,5300,0
3800,600,2000,1500,25387,14765,21575,0,10076,10600,10600
1900,2000,1000,1500,1000,1500,1960,0,0,0,0
22370,10440,16200,46040,25066,9607,4524,0,5300,5300,3700
3650,4275,7140,4799,721,315,140,0,0,0,0
16120,14808,17817,11100,1900,3820,3800,0,14328,5300,5300
2900,0,0,0,3250,4250,2900,0,5300,0,0
200,750,2600,200,12402,5578,15745,0,0,10600,15900
535,151,1003,165,0,0,0,0,0,11000,0
0,0,13910,5500,448,150,516,0,0,0,0
0,16686,30507,0,0,0,0,0,0,0,0
1999,250,64,406,11283,12064,0,0,0,0,0
5539,2300,11550,1912,0,0,0,0,0,0,0
3000,0,3000,0,0,0,0,0,0,0,0
270,0,0,0,3000,0,0,0,0,0,0
11730,4199,13514,6900,0,0,0,0,0,0,0
8240,3070,6600,3000,3020,7000,0,0,0,0,0
0,200,50,2000,0,0,0,0,0,0,0
19200,14300,73314,9984,0,0,0,0,0,0,0
2000,0,1600,5000,0,0,0,0,0,0,0
14320,12693,26278,17833,2950,3950,0,1350,4300,1200,1000
321,100,80,600,6250,10000,10700,4080,5550,6420,2440
4200,4250,6770,2500,12400,10050,11367,13575,14400,9919,4420
200,0,0,0,200,0,200,0,0,100,0
7999,8086,5150,3300,0,0,600,0,600,2100,0
R,R,R,R,1000,0,100,0,0,0,1000
R,R,R,R,460,6303,2619,1881,3940,2413,2350
R,R,R,R,18360,10799,8099,100,13367,10500,685
3110,4325,7520,3700,2841,3630,300,0,4000,3990,6200
5797,6286,12061,20640,3900,3100,2100,1880,100,0,700
10600,12525,16650,21800,0,0,0,0,150,1000,200
0,500,100,0,6500,3000,365,0,1000,0,0
395,1000,1200,190,0,0,0,0,0,0,0
1650,0,0,1712,0,0,0,4100,650,4000,0
1000,1000,4000,4000,0,0,0,500,300,200,200
4000,3200,2000,0,0,0,0,200,300,100,0
17000,16000,20000,16000,0,0,0,0,0,0,100
313,3355,31870,200,0,0,0,0,0,0,0
450,0,1950,270,0,0,0,0,0,0,200
19617,13499,15200,11800,0,0,0,0,0,0,5480
1100,5312,6612,4500,0,0,0,0,0,0,0
490,0,500,600,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1700,400,4045,1090,0,0,0,0,0,0,0
8607,8530,21436,1770,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
2900,3050,10225,2900,497,0,0,0,0,0,0
2299,200,2100,0,0,0,0,5870,1800,0,0
8700,11550,28550,12000,0,0,0,0,0,0,0
1090,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1700,300,3500,960,1000
0,300,400,0,8000,9331,7400,10715,20068,12819,20669
0,0,0,0,160,0,150,0,500,500,200
R,R,R,R,2700,200,0,0,1000,200,0
R,R,R,R,7729,7100,5000,3000,2650,6000,1500
R,R,R,R,3100,2000,3000,1000,2500,0,3100
R,R,R,R,1000,920,0,0,1500,0,0
R,R,R,R,240,100,0,100,100,0,0
R,R,R,R,628,4700,0,0,4950,4600,3000
2300,1200,20050,12700,0,1000,0,0,0,0,0
23535,21903,49446,3340,4200,8460,0,0,3230,1750,2750
356,642,0,0,0,2000,1100,0,500,200,1250
1935,1984,2797,1750,0,7900,200,600,243,50,275
200,0,4700,1000,32330,9190,12700,47016,17284,11510,12390
0,0,29950,14300,0,0,0,0,500,800,1300
1200,2200,1600,1100,300,100,0,100,150,200,400
1000,1520,10400,0,300,200,3600,2300,4140,500,960
300,1450,5000,0,0,0,0,0,7500,2950,4180
3170,100,1000,0,500,0,0,0,0,0,0
100,100,150,0,0,0,0,0,0,0,0
5990,1280,1700,1500,0,0,0,0,0,0,0
1000,2500,10076,0,0,0,0,0,0,0,0
500,100,2000,0,1820,1090,0,0,0,0,0
1850,1600,500,140,10600,1090,0,1400,850,0,0
4410,8000,12130,4200,0,0,0,0,0,0,0
50,0,0,500,0,0,0,0,0,0,0
25283,9900,64437,3047,4400,11750,4550,3750,4349,7695,6545
7360,13000,198147,0,0,0,0,0,200,0,100
0,0,1600,1000,1050,1000,0,2500,800,0,1000
0,500,15260,0,11105,9280,0,20900,20000,500,3200
0,0,0,0,1500,0,650,3930,2869,6340,1772
0,3400,8100,0,0,0,0,0,0,0,0
R,R,R,R,195,2819,3245,1400,2772,5828,2042
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,4100,5300,5300,5300,3400,3000,6300
R,R,R,R,6200,6600,6600,6800,6100,6400,6700
R,R,R,R,4000,500,0,5000,800,1500,500
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,3500,0
R,R,R,R,950,2700,1100,0,0,550,349
3850,6140,9500,0,0,0,0,0,0,0,0
7509,14742,9600,3214,0,0,0,10352,0,8377,8659
12500,0,0,0,0,0,0,0,600,0,600
1500,2200,1700,0,1196,1778,2439,3020,995,950,1600
0,0,0,0,0,0,0,0,0,0,0
10000,8000,13500,0,8320,7135,7720,6100,7800,5300,5300
2020,3400,4100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,4000,0,0,0,0,0,0,0,0
806,650,2800,0,0,0,0,0,0,0,0
0,1700,4000,0,0,0,0,0,0,0,0
9300,0,15900,15900,0,0,0,0,0,0,0
8000,5500,10200,7700,0,0,0,0,0,0,0
180,200,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1010,0,6900,0,0,0,0,0,2410,5300,17334
1500,300,300,650,0,0,14915,10201,10551,22805,24351
5250,6000,8000,20700,0,0,1000,200,200,100,30800
700,0,800,0,0,0,700,4421,21450,28158,19447
2500,0,4640,0,0,0,0,30,0,0,0
0,900,4974,0,0,0,700,1000,0,0,900
0,0,1000,0,0,0,700,300,300,190,1190
0,1820,1200,0,0,0,2062,1000,3020,4075,1360
0,0,0,0,0,0,3400,600,100,1100,10751
0,0,0,0,0,0,0,1075,4502,12750,28568
R,R,R,R,0,0,400,2600,1367,3750,2912
R,R,R,R,0,0,150,9020,5580,4950,4550
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,5200,655,799,9000,5300,20400,21890
R,R,R,R,0,0,0,0,535,1340,1245
1000,0,0,6540,0,0,0,0,0,8525,0
0,0,0,0,0,0,0,0,0,6025,1587
200,300,0,2020,0,0,0,0,0,0,420
200,0,0,0,0,0,0,0,0,0,749
500,650,0,0,0,0,0,0,0,0,250
1500,500,0,0,0,0,550,300,2813,2550,3800
303,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
600,0,0,12757,0,0,0,0,0,0,0
1000,0,0,550,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1800,0,0,13169,0,0,0,0,0,0,0
1200,1500,0,0,1840,220,4205,6297,3010,170,0
0,0,0,1100,0,0,0,0,0,0,0
0,650,0,1800,0,0,4168,3150,580,0,0
0,0,0,0,0,0,200,0,0,0,0
3988,0,0,5194,0,0,1000,297,500,1000,0
700,500,0,7650,0,0,0,0,0,0,0
12000,1985,0,2200,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,300,0,0,0,0
0,0,0,0,0,4320,1700,4800,3100,6200,3330
R,R,R,R,10700,6000,7554,8700,12500,3800,3500
R,R,R,R,1700,1300,0,0,1000,0,0
R,R,R,R,944,3211,2163,5212,3100,2810,5400
8427,5800,223320,6590,18000,18100,10215,12000,18000,14500,23168
10500,7000,8000,6600,3990,3400,2370,3850,3975,1880,2450
1500,200,0,0,4096,4050,5240,3400,12066,5600,3620
437,2304,0,0,15000,7170,19208,20150,23610,24500,22490
17000,14850,49651,0,1384,2250,2300,900,638,2517,0
0,0,0,0,350,3400,1110,0,500,200,300
4100,7150,6515,2400,14294,9038,14056,13044,6500,19544,8000
6158,3579,25920,6821,4800,2100,100,1000,0,0,0
